,Virus,Sex,PND,RIN,Pool,batch,Renamed
VB1,VB,M,P1,8.7,Pool1,batch_VB1,V1R01M
VB6,VB,M,P1,8.5,Pool1,batch_VB4,V1R02M
VB4,VB,M,P1,8.3,Pool2,batch_VB1,V1R03M
IHP4,VB,M,P0,7.9,Pool2,batch_VB2,V1R04M
VB7,VB,M,P1,8.4,Pool3,batch_VB4,V1R05M
IHP9,VB,M,P0,8.2,Pool3,batch_VB3,V1R06M
GVVC6,GVVC2,M,P0,9,Pool4,batch_GVVC2,V2R01M
GVVC8,GVVC2,M,P0,8.3,Pool4,batch_GVVC2,V2R02M
GVVC7,GVVC2,M,P0,9.1,Pool5,batch_GVVC2,V2R03M
GVVC13,GVVC2,M,P0,8.7,Pool5,batch_GVVC2,V2R04M
GVVC10,GVVC2,M,P0,8.9,Pool6,batch_GVVC2,V2R05M
GVVC19,GVVC2,M,P0,9,Pool6,batch_GVVC2,V2R06M
GVVC20,GVVC2,M,P0,8.5,Pool7,batch_GVVC2,V2R07M
GVVC21,GVVC2,M,P0,8.8,Pool7,batch_GVVC2,V2R08M
VB2,VB,F,P1,8.9,Pool8,batch_VB1,V1R01F
IHP3,VB,F,P0,6.5,Pool8,batch_VB2,V1R02F
VB3,VB,F,P1,8.3,Pool9,batch_VB1,V1R03F
IHP7,VB,F,P0,8.3,Pool9,batch_VB3,V1R04F
VB5,VB,F,P1,8.4,Pool10,batch_VB1,V1R05F
IHP8,VB,F,P0,8.5,Pool10,batch_VB3,V1R06F
GVVC9,GVVC2,F,P0,8.8,Pool11,batch_GVVC2,V2R01F
GVVC15,GVVC2,F,P0,8.2,Pool11,batch_GVVC2,V2R02F
GVVC11,GVVC2,F,P0,8.6,Pool12,batch_GVVC2,V2R03F
GVVC14,GVVC2,F,P0,8.6,Pool12,batch_GVVC2,V2R04F
GVVC12,GVVC2,F,P0,8.7,Pool13,batch_GVVC2,V2R05F
GVVC16,GVVC2,F,P0,8.2,Pool13,batch_GVVC2,V2R06F
GVVC17,GVVC2,F,P0,8.2,Pool14,batch_GVVC2,V2R07F
GVVC18,GVVC2,F,P0,8.2,Pool14,batch_GVVC2,V2R08F
